RefugeesDate,NoRefugees
#affected+date+refugees,#affected+refugees
2022-04-25,85000
2022-04-27,128300
2022-05-03,165700
2022-05-09,180700
2022-05-18,180894
2022-05-19,225894
2022-05-21,1005894
2022-05-22,1068175
2022-05-23,1143057
2022-05-24,1252598
2022-05-25,1509585
2022-05-26,1542006
2022-05-29,1565693
2022-05-30,1697393
2022-05-31,3032612
2022-06-01,4773142
2022-06-02,4774703
2022-06-03,4774703
2022-06-05,4792122
2022-06-06,4824522
2022-06-07,4913869
2022-06-08,4919773
2022-06-09,4942901
2022-06-10,4958105
2022-06-11,4972953
2022-06-12,4986518
2022-06-13,5076934
2022-06-14,5113791
2022-06-15,5129970
2022-06-16,5145849
2022-06-17,5146852
2022-06-19,5147396
2022-06-20,5166105
2022-06-21,5349476
2022-06-22,5349487
2022-06-23,5350285
2022-06-26,5350863
2022-06-27,5371814
2022-06-28,5493080
2022-06-29,5493884
2022-07-03,5498558
2022-07-04,5524054
2022-07-05,5651401
2022-07-06,5655548
2022-07-10,5656749
2022-07-11,5675126
2022-07-12,5827712
2022-07-13,5846934
2022-07-14,5863980
2022-07-15,5883282
2022-07-16,5902393
2022-07-17,5922269
2022-07-18,5956085
2022-07-19,5988696
2022-07-20,6011362
2022-07-21,6026076
2022-07-22,6043626
2022-07-23,6060514
2022-07-24,6076119
2022-07-25,6099745
2022-07-26,6160801
2022-07-27,6178196
2022-07-28,6194406
2022-07-29,6211291
2022-07-30,6227592
2022-07-31,6244872
2022-08-01,6272752
2022-08-02,6302641
2022-08-03,6305849
2022-08-07,6305867
2022-08-08,6311974
2022-08-09,6463084
2022-08-10,6490187
2022-08-13,6521187
2022-08-14,6521506
2022-08-15,6524303
2022-08-16,6708477
2022-08-17,6709366
2022-08-19,6710454
2022-08-20,6714178
2022-08-21,6715908
2022-08-22,6746923
2022-08-23,6880285
2022-08-24,6880285
2022-08-28,6879397
2022-08-29,6901155
2022-08-30,7012230
2022-08-31,7012250
2022-09-04,7008505
2022-09-05,7108206
2022-09-06,7144173
2022-09-07,7146596
2022-09-11,7148514
2022-09-12,7267698
2022-09-13,7288155
2022-09-14,7300371
2022-09-15,7312699
2022-09-16,7326447
2022-09-17,7339526
2022-09-18,7352374
2022-09-19,7381378
2022-09-20,7399966
2022-09-21,7399972
2022-09-22,7400481
2022-09-23,7401475
2022-09-24,7401475
2022-09-25,7403070
2022-09-26,7517893
2022-09-27,7533843
2022-09-28,7533851
2022-09-30,7538397
2022-10-02,7540367
2022-10-03,7638774
2022-10-04,7647426
2022-10-07,7647769
2022-10-08,7652542
2022-10-09,7653676
2022-10-10,7676357
2022-10-11,7678757
2022-10-12,7678820
2022-10-14,7680308
2022-10-16,7681929
2022-10-17,7696281
2022-10-18,7710024
2022-10-19,7710924
2022-10-23,7713382
2022-10-24,7736980
2022-10-25,7753069
2022-10-26,7753073
2022-10-27,7753465
2022-10-28,7754773
2022-10-30,7758102
2022-10-31,7777423
2022-11-01,7785514
2022-11-06,7786492
2022-11-07,7788194
2022-11-08,7824440
2022-11-11,7824459
2022-11-13,7825734
2022-11-14,7827555
2022-11-15,7843714
2022-11-20,7845684
2022-11-21,7847087
2022-11-22,7867219
2022-11-25,7873179
2022-11-27,7876645
2022-11-29,7899537
2022-11-30,7902489
2022-12-04,7906066
2022-12-05,7906463
2022-12-06,7838453
2022-12-10,7841172
2022-12-12,7844654
2022-12-13,7840693
2022-12-18,7842997
2022-12-19,7845182
2022-12-20,7864898
2022-12-21,7865266
2022-12-22,7877290
2022-12-23,7885815
2022-12-25,7890370
2022-12-26,7894737
2022-12-27,7896090
2022-12-28,7896842
2022-12-29,7897159
2022-12-30,7891853
2022-12-31,7900139
2023-01-01,7903520
2023-01-02,7906968
2023-01-03,7910025
2023-01-04,7910094
2023-01-05,7911320
2023-01-06,7911859
2023-01-08,7915734
2023-01-09,7917003
2023-01-10,7968715
2023-01-12,7969447
2023-01-15,7970076
2023-01-16,7977389
2023-01-17,7978866
2023-01-18,7978871
2023-01-19,7988733
2023-01-20,7991578
2023-01-21,7991663
2023-01-22,7994329
2023-01-23,7997821
2023-01-24,7998331
2023-01-26,7999203
2023-01-27,7999941
2023-01-28,8001769
2023-01-29,8010394
2023-01-30,8012519
2023-01-31,8046560